iter	RMSE
0	34.26693025
1	34.21294632
2	34.16176592
3	34.12807758
4	34.10007292
5	34.07640666
6	34.06680807
7	34.02628818
8	34.01601785
9	34.00041345
10	33.9446745
11	33.92284636
12	33.8976452
13	33.86695498
14	33.86549463
15	33.8450342
16	33.80189867
17	33.78916427
18	33.72757658
19	33.70448895
20	33.70361727
21	33.70272139
22	33.69773956
23	33.69713656
24	33.65928958
25	33.65836517
26	33.65778015
27	33.6570982
28	33.60651978
29	33.59156247
30	33.59078702
31	33.59013815
32	33.55194563
33	33.55112423
34	33.53454336
35	33.50358259
36	33.45893486
37	33.42537526
38	33.40685047
39	33.385698
40	33.37257686
41	33.32537199
42	33.3079056
43	33.30668057
44	33.30608155
45	33.29949372
46	33.27381762
47	33.26509547
48	33.25804412
49	33.25715594
50	33.24838755
51	33.24758544
52	33.23291912
53	33.21047378
54	33.20685518
55	33.17437591
56	33.15091214
57	33.15007644
58	33.14085129
59	33.14019138
60	33.12420425
61	33.09254573
62	33.09169285
63	33.09086157
64	33.09010736
65	33.08948257
66	33.08884504
67	33.08784416
68	33.08698273
69	33.08628215
70	33.0602262
71	33.05956231
72	33.05881486
73	33.01070737
74	33.00590666
75	33.00499181
76	33.00433235
77	33.00360047
78	33.0029483
79	32.98516871
80	32.96018536
81	32.9509035
82	32.95031848
83	32.94933856
84	32.93257843
85	32.9318461
86	32.93105993
87	32.93017504
88	32.90144848
89	32.90047317
90	32.88421445
91	32.88337859
92	32.88250675
93	32.88162511
94	32.88071765
95	32.87979202
96	32.87890613
97	32.87822749
98	32.83828126
99	32.83743009
100	32.80596677
101	32.767585
102	32.74308844
103	32.71275141
104	32.68506747
105	32.68410236
106	32.65746588
107	32.62343561
108	32.57943113
109	32.55102037
110	32.52352437
111	32.52237659
112	32.52125777
113	32.48595336
114	32.44545565
115	32.40540746
116	32.37597803
117	32.34343376
118	32.32441125
119	32.28545069
120	32.24593357
121	32.2152662
122	32.17322242
123	32.13780598
124	32.10412076
125	32.05639283
126	32.01481051
127	31.97598923
128	31.94547071
129	31.9205397
130	31.88930484
131	31.88793681
132	31.85044945
133	31.81569186
134	31.81434453
135	31.78555439
136	31.74525963
137	31.74391754
138	31.71260681
139	31.67232666
140	31.63801838
141	31.60882831
142	31.60746149
143	31.58134393
144	31.55869328
145	31.52683502
146	31.52549076
147	31.52416252
148	31.52284712
149	31.48371047
150	31.48239279
151	31.44750998
152	31.42353847
153	31.39683772
154	31.37198028
155	31.37065956
156	31.36934757
157	31.33713898
158	31.3092255
159	31.27532324
160	31.25320965
161	31.25189035
162	31.25058555
163	31.2492907
164	31.20931002
165	31.20801184
166	31.20672408
167	31.17073627
168	31.16943668
169	31.16815433
170	31.12774237
171	31.09480808
172	31.06203083
173	31.06072848
174	31.05945138
175	31.01912547
176	30.99309095
177	30.99181636
178	30.99055522
179	30.9892984
180	30.98803731
181	30.95255405
182	30.91739415
183	30.91612201
184	30.88230909
185	30.8810484
186	30.84943858
187	30.84817581
188	30.81011806
189	30.77597916
190	30.75347149
191	30.72570232
192	30.68283938
193	30.68157027
194	30.68030997
195	30.64628082
196	30.62170218
197	30.62043818
198	30.61918859
199	30.61794316
200	30.61669789
201	30.61545074
202	30.59117408
203	30.58993756
204	30.5595563
205	30.55832371
206	30.52729514
207	30.50774599
208	30.50651023
209	30.48306109
210	30.4818199
211	30.48058927
212	30.47936705
213	30.44276703
214	30.44153288
215	30.40718233
216	30.40595418
217	30.40472934
218	30.37943294
219	30.37821312
220	30.37698348
221	30.3491972
222	30.34797562
223	30.34675482
224	30.34554144
225	30.34433276
226	30.34312054
227	30.34191646
228	30.3407131
229	30.31305011
230	30.31183797
231	30.31063195
232	30.30943289
233	30.30823205
234	30.28487976
235	30.28368396
236	30.28249383
237	30.28129985
238	30.2493678
239	30.21765014
240	30.2164444
241	30.21525127
242	30.21406207
243	30.21287655
244	30.17317072
245	30.17196854
246	30.17077882
247	30.14145935
248	30.14026498
249	30.13908009
250	30.13789816
251	30.08529802
252	30.08410543
253	30.08291943
254	30.08173707
255	30.08055592
256	30.04234649
257	30.04115914
258	30.03997848
259	30.01445957
260	29.96129479
261	29.96010419
262	29.92762071
263	29.92643369
264	29.89683291
265	29.89564612
266	29.89445168
267	29.8932682
268	29.89209222
269	29.8652784
270	29.8640963
271	29.86292321
272	29.86175312
273	29.82079497
274	29.81961842
275	29.81845083
276	29.81728685
277	29.81612357
278	29.77703816
279	29.75503518
280	29.75386013
281	29.75269504
282	29.75153467
283	29.75037524
284	29.74922008
285	29.74806493
286	29.74690908
287	29.74575752
288	29.7446076
289	29.74346035
290	29.74230825
291	29.74116212
292	29.7400153
293	29.73887248
294	29.73772926
295	29.73659081
296	29.73544759
297	29.73431108
298	29.73317496
299	29.69891286
300	29.66987286
301	29.66871689
302	29.66756828
303	29.6411013
304	29.63995076
305	29.6388073
306	29.63766692
307	29.60098815
308	29.57497308
309	29.57382125
310	29.57268069
311	29.57153844
312	29.57040233
313	29.56927156
314	29.5681443
315	29.54330507
316	29.5421712
317	29.54104206
318	29.51515211
319	29.51401946
320	29.51288274
321	29.51175214
322	29.51062588
323	29.46877787
324	29.43432042
325	29.4331743
326	29.43204123
327	29.43090209
328	29.42977362
329	29.42864809
330	29.42752678
331	29.4264019
332	29.42528341
333	29.42416898
334	29.42305341
335	29.42194281
336	29.42082342
337	29.41970781
338	29.41859612
339	29.39503084
340	29.3939085
341	29.37087242
342	29.34146376
343	29.29811649
344	29.29698333
345	29.27272312
346	29.27159654
347	29.270476
348	29.24154449
349	29.24042281
350	29.21756569
351	29.21643183
352	29.19081106
353	29.1896869
354	29.16866715
355	29.16754022
356	29.16641883
357	29.1653029
358	29.16418866
359	29.16307732
360	29.16196682
361	29.16086118
362	29.15975719
363	29.15865459
364	29.15754979
365	29.15644967
366	29.15535143
367	29.15425348
368	29.15315671
369	29.15206079
370	29.15096683
371	29.14987151
372	29.1282214
373	29.12711956
374	29.12602341
375	29.12493059
376	29.12383554
377	29.12274524
378	29.12165529
379	29.12056274
380	29.11947489
381	29.11838847
382	29.11730131
383	29.11621606
384	29.11513362
385	29.11404855
386	29.08674756
387	29.05132422
388	29.02905715
389	29.02795225
390	29.02685946
391	29.02576306
392	29.02467374
393	29.02358816
394	29.02250425
395	28.99834275
396	28.99724378
397	28.9961572
398	28.9950746
399	28.99399212
400	28.99291305
401	28.96178329
402	28.96069445
403	28.95961056
404	28.92831179
405	28.89708216
406	28.89598427
407	28.89489544
408	28.89381092
409	28.8927296
410	28.89165046
411	28.89057314
412	28.85873447
413	28.82871279
414	28.82761708
415	28.82653206
416	28.79616622
417	28.79507592
418	28.79399564
419	28.79291123
420	28.79183453
421	28.79076012
422	28.76698461
423	28.72385538
424	28.72275984
425	28.72167357
426	28.72059082
427	28.69611564
428	28.69503349
429	28.69395752
430	28.692883
431	28.67167485
432	28.67059919
433	28.66952655
434	28.64184256
435	28.64075557
436	28.639683
437	28.63861479
438	28.63754095
439	28.63647295
440	28.63540673
441	28.63434232
442	28.60400132
443	28.60292166
444	28.60185225
445	28.6007885
446	28.59971927
447	28.59865442
448	28.59759235
449	28.59653187
450	28.59547395
451	28.59441233
452	28.5933551
453	28.59230052
454	28.57008662
455	28.56902534
456	28.5679658
457	28.56691165
458	28.53996052
459	28.53889722
460	28.53783863
461	28.5367817
462	28.53572698
463	28.53467078
464	28.53362083
465	28.53256953
466	28.53152066
467	28.53047363
468	28.52942369
469	28.5283734
470	28.52732657
471	28.52628314
472	28.52523815
473	28.52419603
474	28.52315201
475	28.52210991
476	28.5210694
477	28.49627448
478	28.49521912
479	28.49417369
480	28.49312989
481	28.4602928
482	28.45923622
483	28.45818692
484	28.45714253
485	28.45609217
486	28.42992342
487	28.42887407
488	28.42782763
489	28.42678693
490	28.4257481
491	28.42471072
492	28.42367505
493	28.42263849
494	28.42160354
495	28.42057104
496	28.41953889
497	28.41850646
498	28.41747394
499	28.41644448
